Departamento,Provincia,Total_Fallecidos_2020,Poblacion_2017
AMAZONAS,BAGUA,270,74100
AMAZONAS,BONGARA,25,25637
AMAZONAS,CHACHAPOYAS,61,55506
AMAZONAS,CONDORCANQUI,79,42470
AMAZONAS,LUYA,20,44436
AMAZONAS,RODRIGUEZ DE MENDOZA,9,29998
AMAZONAS,UTCUBAMBA,130,107237
ANCASH,AIJA,2,6316
ANCASH,ANTONIO RAIMONDI,5,48482
ANCASH,ASUNCION,3,7378
ANCASH,BOLOGNESI,20,23797
ANCASH,CARHUAZ,41,45184
ANCASH,CARLOS FERMIN FITZCARRALD,11,17717
ANCASH,CASMA,130,50989
ANCASH,CORONGO,2,7532
ANCASH,HUARAZ,476,163936
ANCASH,HUARI,39,58714
ANCASH,HUARMEY,74,30560
ANCASH,HUAYLAS,71,51334
ANCASH,MARISCAL LUZURIAGA,10,20284
ANCASH,OCROS,8,7039
ANCASH,PALLASCA,14,23491
ANCASH,POMABAMBA,20,24794
ANCASH,RECUAY,20,17185
ANCASH,SANTA,1912,435807
ANCASH,SIHUAS,12,26971
ANCASH,YUNGAY,40,50841
APURIMAC,ABANCAY,160,110520
APURIMAC,ANDAHUAYLAS,99,142477
APURIMAC,ANTABAMBA,8,11310
APURIMAC,AYMARAES,33,24307
APURIMAC,CHINCHEROS,32,45247
APURIMAC,COTABAMBAS,27,50656
APURIMAC,GRAU,8,21242
AREQUIPA,AREQUIPA,3826,1080635
AREQUIPA,CAMANA,87,59370
AREQUIPA,CARAVELI,54,41346
AREQUIPA,CASTILLA,35,33629
AREQUIPA,CAYLLOMA,153,86771
AREQUIPA,CONDESUYOS,14,16118
AREQUIPA,ISLAY,141,52034
AREQUIPA,LA UNION,5,12827
AYACUCHO,CANGALLO,24,30443
AYACUCHO,HUAMANGA,551,282194
AYACUCHO,HUANCA SANCOS,3,8409
AYACUCHO,HUANTA,101,89466
AYACUCHO,LA MAR,58,70653
AYACUCHO,LUCANAS,51,51328
AYACUCHO,PARINACOCHAS,27,27659
AYACUCHO,PAUCAR DEL SARA SARA,13,9609
AYACUCHO,SUCRE,8,9445
AYACUCHO,VICTOR FAJARDO,20,20109
AYACUCHO,VILCAS HUAMAN,4,16861
CAJAMARCA,CAJABAMBA,63,75687
CAJAMARCA,CAJAMARCA,679,348433
CAJAMARCA,CELENDIN,50,79084
CAJAMARCA,CHOTA,65,142984
CAJAMARCA,CONTUMAZA,23,27693
CAJAMARCA,CUTERVO,58,120723
CAJAMARCA,HUALGAYOC,55,77944
CAJAMARCA,JAEN,465,185432
CAJAMARCA,SAN IGNACIO,99,130620
CAJAMARCA,SAN MARCOS,25,48103
CAJAMARCA,SAN MIGUEL,25,46043
CAJAMARCA,SAN PABLO,9,21102
CAJAMARCA,SANTA CRUZ,30,37164
CALLAO,CALLAO,5320,48482
CUSCO,ACOMAYO,22,22940
CUSCO,ANTA,64,56206
CUSCO,CALCA,32,63155
CUSCO,CANAS,12,32484
CUSCO,CANCHIS,112,95774
CUSCO,CHUMBIVILCAS,13,66410
CUSCO,CUSCO,997,447588
CUSCO,ESPINAR,43,57582
CUSCO,LA CONVENCION,147,147148
CUSCO,PARURO,18,25567
CUSCO,PAUCARTAMBO,8,42504
CUSCO,QUISPICANCHI,95,87430
CUSCO,URUBAMBA,57,60739
HUANCAVELICA,ACOBAMBA,41,38208
HUANCAVELICA,ANGARAES,63,49207
HUANCAVELICA,CASTROVIRREYNA,7,13982
HUANCAVELICA,CHURCAMPA,25,32538
HUANCAVELICA,HUANCAVELICA,189,115054
HUANCAVELICA,HUAYTARA,17,17247
HUANCAVELICA,TAYACAJA,52,81403
HUANUCO,AMBO,46,50880
HUANUCO,DOS DE MAYO,23,33258
HUANUCO,HUACAYBAMBA,7,16551
HUANUCO,HUAMALIES,27,52039
HUANUCO,HUANUCO,619,293397
HUANUCO,LAURICOCHA,8,18913
HUANUCO,LEONCIO PRADO,290,127793
HUANUCO,MARAÑON,14,26622
HUANUCO,PACHITEA,25,49159
HUANUCO,PUERTO INCA,21,32538
HUANUCO,YAROWILCA,11,19897
ICA,CHINCHA,1282,226113
ICA,ICA,1559,391519
ICA,NAZCA,266,69157
ICA,PALPA,77,13232
ICA,PISCO,622,150744
JUNIN,CHANCHAMAYO,355,151489
JUNIN,CHUPACA,106,52988
JUNIN,CONCEPCION,79,55591
JUNIN,HUANCAYO,1391,545615
JUNIN,JAUJA,107,83257
JUNIN,JUNIN,34,23133
JUNIN,SATIPO,130,203985
JUNIN,TARMA,143,89590
JUNIN,YAULI,95,40390
LA LIBERTAD,ASCOPE,498,48482
LA LIBERTAD,BOLIVAR,2,48482
LA LIBERTAD,CHEPEN,365,48482
LA LIBERTAD,GRAN CHIMU,33,48482
LA LIBERTAD,JULCAN,7,48482
LA LIBERTAD,OTUZCO,81,48482
LA LIBERTAD,PACASMAYO,327,48482
LA LIBERTAD,PATAZ,48,48482
LA LIBERTAD,SANCHEZ CARRION,55,48482
LA LIBERTAD,SANTIAGO DE CHUCO,41,48482
LA LIBERTAD,TRUJILLO,3238,48482
LA LIBERTAD,VIRU,229,48482
LAMBAYEQUE,CHICLAYO,3538,799675
LAMBAYEQUE,FERREÑAFE,373,97415
LAMBAYEQUE,LAMBAYEQUE,948,300170
LIMA,BARRANCA,531,144381
LIMA,CAJATAMBO,43,6559
LIMA,CANTA,33,11548
LIMA,CAÑETE,962,240013
LIMA,HUARAL,657,183898
LIMA,HUAROCHIRI,193,58145
LIMA,HUAURA,871,227685
LIMA,LIMA,39361,8574974
LIMA,OYON,25,17739
LIMA,YAUYOS,31,20463
LORETO,ALTO AMAZONAS,256,122725
LORETO,DATEM DEL MARAÑON,73,48482
LORETO,LORETO,120,62437
LORETO,MARISCAL RAMON CASTILLA,86,49072
LORETO,MAYNAS,2081,479866
LORETO,PUTUMAYO,15,7780
LORETO,REQUENA,152,58511
LORETO,UCAYALI,80,54637
MADRE DE DIOS,MANU,18,48482
MADRE DE DIOS,TAHUAMANU,28,48482
MADRE DE DIOS,TAMBOPATA,401,48482
MOQUEGUA,GENERAL SANCHEZ CERRO,17,14865
MOQUEGUA,ILO,356,74649
MOQUEGUA,MARISCAL NIETO,516,85349
PASCO,DANIEL ALCIDES CARRION,36,43580
PASCO,OXAPAMPA,68,87470
PASCO,PASCO,232,123015
PIURA,AYABACA,101,119287
PIURA,HUANCABAMBA,114,111501
PIURA,MORROPON,716,162027
PIURA,PAITA,565,129892
PIURA,PIURA,2933,799321
PIURA,SECHURA,228,79177
PIURA,SULLANA,1291,311454
PIURA,TALARA,565,144150
PUNO,AZANGARO,69,110392
PUNO,CARABAYA,27,73322
PUNO,CHUCUITO,58,89002
PUNO,EL COLLAO,69,63878
PUNO,HUANCANE,56,57651
PUNO,LAMPA,37,40856
PUNO,MELGAR,60,67138
PUNO,MOHO,17,19753
PUNO,PUNO,512,219494
PUNO,SAN ANTONIO DE PUTINA,19,36113
PUNO,SAN ROMAN,569,307417
PUNO,SANDIA,31,50742
PUNO,YUNGUYO,46,36939
SAN MARTIN,BELLAVISTA,77,55033
