Departamento,Provincia,Votos_Castillo,Votos_Keiko
AMAZONAS,BAGUA,25980,10770
AMAZONAS,BONGARA,8374,5209
AMAZONAS,CHACHAPOYAS,15671,10473
AMAZONAS,CONDORCANQUI,14024,1446
AMAZONAS,LUYA,12606,7840
AMAZONAS,RODRIGUEZ DE MENDOZA,7967,5491
AMAZONAS,UTCUBAMBA,36540,19222
ANCASH,AIJA,2325,1413
ANCASH,ANTONIO RAIMONDI,5056,788
ANCASH,ASUNCION,2860,827
ANCASH,BOLOGNESI,7690,3994
ANCASH,CARHUAZ,18781,8590
ANCASH,CARLOS FERMIN FITZCARRALD,6462,1697
ANCASH,CASMA,11328,15546
ANCASH,CORONGO,2174,1460
ANCASH,HUARAZ,58628,33193
ANCASH,HUARI,27357,6734
ANCASH,HUARMEY,7621,9228
ANCASH,HUAYLAS,13625,14452
ANCASH,MARISCAL LUZURIAGA,8383,1628
ANCASH,OCROS,1642,1729
ANCASH,PALLASCA,7451,2754
ANCASH,POMABAMBA,9061,2527
ANCASH,RECUAY,7790,2839
ANCASH,SANTA,119916,125495
ANCASH,SIHUAS,9602,3439
ANCASH,YUNGAY,19705,9295
APURIMAC,ABANCAY,43244,15012
APURIMAC,ANDAHUAYLAS,65475,13578
APURIMAC,ANTABAMBA,4797,910
APURIMAC,AYMARAES,11122,2792
APURIMAC,CHINCHEROS,19791,3938
APURIMAC,COTABAMBAS,20212,1961
APURIMAC,GRAU,9703,1475
AREQUIPA,AREQUIPA,433994,255453
AREQUIPA,CAMANA,20623,14197
AREQUIPA,CARAVELI,8422,9434
AREQUIPA,CASTILLA,12800,4070
AREQUIPA,CAYLLOMA,46879,7559
AREQUIPA,CONDESUYOS,5918,1299
AREQUIPA,ISLAY,24149,9743
AREQUIPA,LA UNION,5300,867
AYACUCHO,CANGALLO,14901,1825
AYACUCHO,HUAMANGA,130495,28067
AYACUCHO,HUANCA SANCOS,4219,560
AYACUCHO,HUANTA,37717,7682
AYACUCHO,LA MAR,31155,5411
AYACUCHO,LUCANAS,15932,5958
AYACUCHO,PARINACOCHAS,8985,1992
AYACUCHO,PAUCAR DEL SARA SARA,3051,1129
AYACUCHO,SUCRE,3425,1041
AYACUCHO,VICTOR FAJARDO,8745,969
AYACUCHO,VILCAS HUAMAN,8199,1427
CAJAMARCA,CAJABAMBA,18407,14637
CAJAMARCA,CAJAMARCA,114306,79417
CAJAMARCA,CELENDIN,31762,7597
CAJAMARCA,CHOTA,66988,10980
CAJAMARCA,CONTUMAZA,8516,5482
CAJAMARCA,CUTERVO,42346,15584
