Departamento,Provincia,No usa electricidad,Sí usa electricidad,No usa gas (balón GLP),Sí usa gas (balón GLP),No usa gas natural,Sí usa gas natural,No usa carbón,Sí usa carbón,No usa leña,Sí usa leña,No usa bosta,estiércol,Sí usa bosta,estiércol,No usa otros (residuos agrícolas,etc.),Sí usa otros (residuos agrícolas,etc.),Sí cocinan,No cocinan
AMAZONAS,BAGUA,20313,161,10557,9917,20474,0,20185,289,7357,13117,20474,0,20471,3,19776,698,,,,
AMAZONAS,BONGARA,7689,124,3154,4659,7813,0,7755,58,2345,5468,7812,1,7813,0,7627,186,,,,
AMAZONAS,CHACHAPOYAS,14763,574,4696,10641,15337,0,15161,176,7236,8101,15332,5,15334,3,14883,454,,,,
AMAZONAS,CONDORCANQUI,9853,14,8331,1536,9867,0,9841,26,1059,8808,9867,0,9867,0,9769,98,,,,
AMAZONAS,LUYA,13112,90,6863,6339,13202,0,13169,33,1833,11369,13197,5,13198,4,12955,247,,,,
AMAZONAS,RODRÍGUEZ DE MENDOZA,9103,65,5387,3781,9168,0,9142,26,1824,7344,9166,2,9166,2,8924,244,,,,
AMAZONAS,UTCUBAMBA,31248,255,15425,16078,31503,0,31168,335,10790,20713,31501,2,31480,23,30332,1171,,,,
ÁNCASH,AIJA,1989,16,1527,478,2005,0,2001,4,219,1786,1893,112,2005,0,1953,52,,,,
ÁNCASH,ANTONIO RAYMONDI,3894,33,3151,776,3927,0,3923,4,351,3576,3881,46,3923,4,3889,38,,,,
ÁNCASH,ASUNCIÓN,2347,12,1572,787,2359,0,2352,7,175,2184,2356,3,2359,0,2321,38,,,,
ÁNCASH,BOLOGNESI,7106,81,4779,2408,7187,0,7090,97,1771,5416,6822,365,7151,36,7049,138,,,,
ÁNCASH,CARHUAZ,13370,122,9878,3614,13492,0,13470,22,2109,11383,13485,7,13472,20,13356,136,,,,
ÁNCASH,CARLOS FERMÍN FITZCARRALD,5289,19,4449,859,5308,0,5301,7,354,4954,5304,4,5307,1,5266,42,,,,
ÁNCASH,CASMA,14869,370,5218,10021,15239,0,15050,189,8088,7151,15239,0,15232,7,14675,564,,,,
ÁNCASH,CORONGO,2086,17,1593,510,2103,0,2096,7,221,1882,2103,0,2102,1,2056,47,,,,
ÁNCASH,HUARAZ,45333,921,15947,30307,46254,0,46036,218,24753,21501,46145,109,46225,29,45264,990,,,,
ÁNCASH,HUARI,16191,123,12787,3527,16314,0,16284,30,1883,14431,16271,43,16267,47,16158,156,,,,
ÁNCASH,HUARMEY,9365,193,2208,7350,9558,0,9360,198,6874,2684,9558,0,9556,2,9206,352,,,,
ÁNCASH,HUAYLAS,14868,142,9411,5599,15010,0,14978,32,3659,11351,14972,38,15006,4,14680,330,,,,
ÁNCASH,MARISCAL LUZURIAGA,6119,14,5573,560,6133,0,6127,6,194,5939,6131,2,6133,0,6100,33,,,,
ÁNCASH,OCROS,2591,26,1964,653,2617,0,2603,14,377,2240,2551,66,2616,1,2533,84,,,,
ÁNCASH,PALLASCA,6788,24,6010,802,6812,0,6749,63,507,6305,6790,22,6773,39,6727,85,,,,
ÁNCASH,POMABAMBA,7258,28,6214,1072,7286,0,7273,13,633,6653,7278,8,7285,1,7212,74,,,,
ÁNCASH,RECUAY,5370,53,3585,1838,5423,0,5405,18,1050,4373,5211,212,5416,7,5343,80,,,,
ÁNCASH,SANTA,119443,4473,12659,111257,123916,0,122492,1424,108350,15566,123912,4,123788,128,120944,2972,,,,
ÁNCASH,SIHUAS,7825,50,6640,1235,7875,0,7860,15,708,7167,7869,6,7873,2,7809,66,,,,
ÁNCASH,YUNGAY,14723,120,10053,4790,14843,0,14803,40,2098,12745,14833,10,14789,54,14661,182,,,,
APURÍMAC,ABANCAY,33780,490,10121,24149,34270,0,34111,159,16860,17410,34185,85,34151,119,33517,753,,,,
APURÍMAC,ANDAHUAYLAS,42100,447,26207,16340,42547,0,42441,106,9749,32798,41704,843,42408,139,42090,457,,,,
APURÍMAC,ANTABAMBA,4049,31,2594,1486,4080,0,4067,13,921,3159,3325,755,4079,1,4041,39,,,,
APURÍMAC,AYMARAES,8676,69,4572,4173,8745,0,8712,33,1184,7561,8012,733,8741,4,8635,110,,,,
APURÍMAC,CHINCHEROS,13708,89,10640,3157,13797,0,13762,35,1508,12289,13794,3,13796,1,13689,108,,,,
APURÍMAC,COTABAMBAS,15051,197,10197,5051,15248,0,15143,105,5496,9752,9302,5946,15231,17,15045,203,,,,
APURÍMAC,GRAU,7324,37,5273,2088,7361,0,7341,20,1133,6228,6017,1344,7266,95,7282,79,,,,
AREQUIPA,AREQUIPA,316729,11031,22740,305020,327132,628,326375,1385,298529,29231,327156,604,327501,259,320684,7076,,,,
AREQUIPA,CAMANÁ,18532,537,2367,16702,19069,0,18999,70,16372,2697,19069,0,19065,4,18051,1018,,,,
AREQUIPA,CARAVELÍ,12048,218,1729,10537,12266,0,12210,56,9864,2402,12226,40,12262,4,11517,749,,,,
AREQUIPA,CASTILLA,10687,110,2855,7942,10797,0,10737,60,5475,5322,10132,665,10789,8,10488,309,,,,
AREQUIPA,CAYLLOMA,28933,488,6093,23328,29421,0,29284,137,19746,9675,26626,2795,29374,47,28560,861,,,,
AREQUIPA,CONDESUYOS,5021,28,1938,3111,5049,0,5037,12,2563,2486,4388,661,5045,4,4841,208,,,,
AREQUIPA,ISLAY,16335,432,2379,14388,16767,0,16716,51,14151,2616,16767,0,16760,7,16120,647,,,,
AREQUIPA,LA UNIÓN,4359,34,2608,1785,4393,0,4375,18,707,3686,3789,604,4393,0,4323,70,,,,
AYACUCHO,CANGALLO,10329,90,6626,3793,10419,0,10376,43,1136,9283,9180,1239,10404,15,10366,53,,,,
AYACUCHO,HUAMANGA,76581,1685,23608,54658,78266,0,77940,326,40674,37592,76749,1517,78228,38,77094,1172,,,,
AYACUCHO,HUANCA SANCOS,3060,33,1605,1488,3093,0,3081,12,541,2552,2357,736,3092,1,3047,46,,,,
AYACUCHO,HUANTA,25715,369,12406,13678,26084,0,26016,68,8068,18016,25497,587,25894,190,25705,379,,,,
AYACUCHO,LA MAR,20883,231,12736,8378,21114,0,21070,44,5098,16016,21073,41,21109,5,20649,465,,,,
AYACUCHO,LUCANAS,17989,181,10386,7784,18170,0,18092,78,4969,13201,15937,2233,18162,8,17762,408,,,,
AYACUCHO,PARINACOCHAS,8180,67,3499,4748,8247,0,8209,38,3356,4891,6871,1376,8244,3,8053,194,,,,
AYACUCHO,PÁUCAR DEL SARA SARA,3288,45,1768,1565,3333,0,3320,13,767,2566,3192,141,3329,4,3233,100,,,,
AYACUCHO,SUCRE,3396,16,2184,1228,3412,0,3403,9,517,2895,3007,405,3411,1,3321,91,,,,
AYACUCHO,VÍCTOR FAJARDO,7293,80,4812,2561,7373,0,7356,17,950,6423,6598,775,7372,1,7195,178,,,,
AYACUCHO,VILCAS HUAMÁN,6121,49,4642,1528,6170,0,6157,13,474,5696,5961,209,6169,1,6113,57,,,,
CAJAMARCA,CAJABAMBA,20856,176,14308,6724,21032,0,20998,34,3242,17790,21021,11,21021,11,20787,245,,,,
CAJAMARCA,CAJAMARCA,94664,1513,40346,55831,96177,0,95186,991,42808,53369,95724,453,95981,196,94209,1968,,,,
CAJAMARCA,CELENDÍN,23717,181,17599,6299,23898,0,23792,106,3534,20364,23838,60,23872,26,23703,195,,,,
CAJAMARCA,CHOTA,44133,360,30604,13889,44493,0,43904,589,7191,37302,44159,334,44418,75,43886,607,,,,
CAJAMARCA,CONTUMAZÁ,9041,47,6007,3081,9088,0,9057,31,2314,6774,9086,2,9088,0,8905,183,,,,
CAJAMARCA,CUTERVO,36425,220,25273,11372,36645,0,36303,342,6100,30545,36635,10,36608,37,36089,556,,,,
CAJAMARCA,HUALGAYOC,25234,189,19552,5871,25423,0,25224,199,3591,21832,24633,790,25286,137,25184,239,,,,
CAJAMARCA,JAÉN,52299,806,20402,32703,53105,0,52508,597,25524,27581,53105,0,53086,19,51478,1627,,,,
CAJAMARCA,SAN IGNACIO,37095,143,23624,13614,37238,0,37099,139,7707,29531,37238,0,37234,4,36670,568,,,,
CAJAMARCA,SAN MARCOS,14783,105,10063,4825,14888,0,14840,48,1811,13077,14878,10,14887,1,14746,142,,,,
CAJAMARCA,SAN MIGUEL,15344,89,11970,3463,15433,0,15385,48,1598,13835,15411,22,15433,0,15283,150,,,,
CAJAMARCA,SAN PABLO,6541,21,5131,1431,6562,0,6551,11,562,6000,6552,10,6560,2,6534,28,,,,
CAJAMARCA,SANTA CRUZ,11566,60,8750,2876,11626,0,11525,101,1523,10103,11623,3,11626,0,11459,167,,,,
CUSCO,ACOMAYO,7037,118,4398,2757,7155,0,7113,42,841,6314,5183,1972,7035,120,7100,55,,,,
CUSCO,ANTA,16623,127,9046,7704,16750,0,16645,105,2906,13844,15271,1479,16675,75,16605,145,,,,
CUSCO,CALCA,18947,112,10571,8488,19059,0,18924,135,5598,13461,17326,1733,18874,185,18842,217,,,,
CUSCO,CANAS,10663,38,8490,2211,10701,0,10669,32,8599,2102,1745,8956,10613,88,10658,43,,,,
CUSCO,CANCHIS,29852,192,11832,18212,30044,0,29649,395,14616,15428,20990,9054,29677,367,29637,407,,,,
CUSCO,CHUMBIVILCAS,21086,182,14541,6727,21268,0,21168,100,10732,10536,10541,10727,21217,51,21081,187,,,,
CUSCO,CUSCO,122395,3968,10803,115560,126363,0,123607,2756,111327,15036,126117,246,126301,62,123311,3052,,,,
CUSCO,ESPINAR,19020,150,8577,10593,19170,0,19117,53,16953,2217,9068,10102,19142,28,19018,152,,,,
CUSCO,LA CONVENCIÓN,42272,482,21446,21308,42754,0,42587,167,12695,30059,42726,28,42750,4,41744,1010,,,,
CUSCO,PARURO,8165,35,5671,2529,8200,0,8144,56,833,7367,7092,1108,8177,23,8164,36,,,,
CUSCO,PAUCARTAMBO,12126,58,8703,3481,12184,0,12121,63,1620,10564,10154,2030,12099,85,12114,70,,,,
CUSCO,QUISPICANCHI,24468,235,13578,11125,24703,0,24247,456,7972,16731,19985,4718,24466,237,24480,223,,,,
CUSCO,URUBAMBA,16386,132,7353,9165,16518,0,16400,118,5875,10643,15482,1036,16368,150,16080,438,,,,
HUANCAVELICA,ACOBAMBA,11600,70,8253,3417,11670,0,11623,47,1878,9792,10081,1589,11631,39,11561,109,,,,
HUANCAVELICA,ANGARAES,14192,87,10203,4076,14279,0,14256,23,3723,10556,11744,2535,14115,164,14114,165,,,,
HUANCAVELICA,CASTROVIRREYNA,5184,35,3614,1605,5219,0,5196,23,1133,4086,4148,1071,5213,6,5062,157,,,,
HUANCAVELICA,CHURCAMPA,9910,57,7834,2133,9967,0,9950,17,1146,8821,9648,319,9948,19,9888,79,,,,
